Numero de accidentes por año:  5783
Total de fallecidos:  115122
fallecidos por año:
|      |   sum |   count |     mean |   max |   min |
| Antonov AN-26                            |  1042 |      36 |  28.9444   |    73 |     3 |
| Antonov AN-26-100                        |     4 |       1 |   4        |     4 |     4 |
| Antonov AN-26A                           |    14 |       1 |  14        |    14 |    14 |
| Antonov AN-26B                           |    70 |       3 |  23.3333   |    40 |     3 |
| Antonov AN-26V                           |    31 |       2 |  15.5      |    30 |     1 |
| Antonov AN-28                            |    55 |       6 |   9.16667  |    17 |     2 |
| Antonov AN-28 PZL-Mielec M-28 Sky Truck  |    13 |       1 |  13        |    13 |    13 |
| Antonov AN-2R                            |     4 |       1 |   4        |     4 |     4 |
|                                               |       |         |            |       |       |
| Antonov AN-2R                            |       |         |            |       |       |
| Antonov AN-2TP                           |     1 |       1 |   1        |     1 |     1 |
| Antonov AN-30                            |    10 |       1 |  10
